Street Name,Duration Before (s),Duration After (s),Silence Removed (s),Sample Rate,Status
Babakhulu Ave,1.749,1.248,0.501,16000,OK
Baphelabantu_Street,1.259,1.152,0.107,16000,OK
Chakide_Road,1.045,0.896,0.149,16000,OK
Dlangisa_Avenue,0.96,0.928,0.032,16000,OK
Emthethweni_Road,1.259,1.024,0.235,16000,OK
Esiphethwini_Road,1.451,1.12,0.331,16000,OK
Ezalukazini_Avenue,1.259,1.259,0.0,16000,OK
Griffiths_Mxenge_hwy,1.515,1.515,0.0,16000,OK
Hambakahle_Mkhonto_Road,1.643,1.536,0.107,16000,OK
Impisi_Avenue,1.408,0.992,0.416,16000,OK
Imvubu_Lane,1.344,0.992,0.352,16000,OK
Inganono_Avenue,1.024,1.024,0.0,16000,OK
Isandlwana_Street,1.451,1.184,0.267,16000,OK
Jama_Drive,1.408,0.8,0.608,16000,OK
Khuzimpi_Shezi_Road,1.429,1.429,0.0,16000,OK
Kuzolunga_Street,1.259,1.056,0.203,16000,OK
Mabele_Road,1.003,0.768,0.235,16000,OK
Mabopha_Avenue,1.301,1.056,0.245,16000,OK
Mafumbuka_Avenue,1.429,1.28,0.149,16000,OK
Makhathini_Drive,1.728,1.632,0.096,16000,OK
Mandlendlovu_Road,1.621,1.088,0.533,16000,OK
Masakhane_Road,1.003,1.003,0.0,16000,OK
Mbokodo_Road,1.344,1.024,0.32,16000,OK
Mbonini_Road,1.109,0.896,0.213,16000,OK
Mfelandawonye_Road,1.195,1.195,0.0,16000,OK
Mgaga_Road,1.835,0.672,1.163,16000,OK
Mgobhozi_Road,1.131,1.088,0.043,16000,OK
Mhlongo_Street,1.003,0.896,0.107,16000,OK
Mnyezane_Road,1.643,0.832,0.811,16000,OK
Mpevu_Road,1.024,0.928,0.096,16000,OK
Mqansi_Avenue,1.067,1.024,0.043,16000,OK
Msobho_Road,1.365,0.896,0.469,16000,OK
Mxenge_Hwy,0.789,0.789,0.0,16000,OK
Mxenge_Road,1.195,0.864,0.331,16000,OK
Ndongeni_Street,1.173,1.088,0.085,16000,OK
Ngilosi_Road,0.875,0.875,0.0,16000,OK
Ngqwele_Road,1.067,0.768,0.299,16000,OK
Nhlwathi_Lane,1.301,1.088,0.213,16000,OK
Njokweni_Crescent,1.344,1.12,0.224,16000,OK
Nkalankala_Lane,1.088,1.056,0.032,16000,OK
Nkathazo_Road,1.365,1.024,0.341,16000,OK
Nkosinathi_walk,1.472,1.088,0.384,16000,OK
Ntunjambili_Street,1.173,1.173,0.0,16000,OK
Phambili_Road,1.067,0.864,0.203,16000,OK
Phezukomkhono_Lane,1.216,1.216,0.0,16000,OK
Phila_Ndwandwe_Road,1.643,1.408,0.235,16000,OK
Qhude_Road,1.045,0.768,0.277,16000,OK
Sankotshe_Avenue,1.323,1.056,0.267,16000,OK
Sga_Ngcobo_Road,1.856,1.76,0.096,16000,OK
Sibusiso_Mdakane_Dr,1.984,1.792,0.192,16000,OK
Sigonyela_Road,1.557,1.056,0.501,16000,OK
Sinqandu_Road,1.259,1.056,0.203,16000,OK
Swazi_Road,1.664,0.896,0.768,16000,OK
Umdoni_Street,1.131,0.992,0.139,16000,OK
Umgeni_Road,1.237,0.832,0.405,16000,OK
Umsimbithi_Road,0.939,0.939,0.0,16000,OK
Umzimvubu_Road,1.472,1.12,0.352,16000,OK
Veni_Yeni_Road,1.408,1.088,0.32,16000,OK
Zigqaje_Road,1.536,0.96,0.576,16000,OK
Zimangwe Dr,1.067,1.067,0.0,16000,OK
Zimbali_Road,0.875,0.875,0.0,16000,OK
